Algorithm,Key,Repeats,Mean Time,Standard Deviation,Top 95,Peak Memory
Merge Sort,No,30,2.726836299916613,0.022567631686180298,2.7604759998212103,16192
Bucket Sort,No,30,0.5541532666635854,0.01017634230882138,0.5687170014425647,204140
Insertion Sort,No,30,71.16801380003987,0.9741519776980052,72.94425699910789,148
