Algorithm,Key,Repeats,Mean Time,Standard Deviation,Top 95,Peak Memory
Linear Search,No,30,0.037439566767716315,0.0253662753362226,0.07361300049524289,176
Binary Search,No,30,0.0034827668059733696,0.001144356365583465,0.003562001438695006,608
