Algorithm,Key,Repeats,Mean Time,Standard Deviation,Top 95,Peak Memory
Bucket Sort,No,30,0.0006710233001892145,0.00014496167232151436,0.0008180509976227768,204140
Merge Sort,No,30,0.002307283433159076,3.404915232769838e-05,0.002378164997935528,16192
Insertion Sort,No,30,0.04915029466707589,0.0017790939737396406,0.04939412599924253,148
